date,location,Dnt_item_name,quantity_sold,sale_price,Donut_Sales,Drink_Item,Drink_Units_Sold,Drink_Price,Drink_Sales,Total_Sales,promotion,Customer_Rating,Payment_Method,time_of_day,quantity_made,waste
2/21/2024,Los Angeles,Powdered Sugar,50,2.71,135.5,Iced Coffee,15,2.5,37.5,173,Yes,3.8,Mobile Payment,Afternoon,58,8
4/2/2024,Boston,Vanilla Frosted,12,2.24,26.88,Cappuccino,21,3.25,68.25,95.13,Yes,5,Cash,Evening,15,3
1/15/2024,Chicago,Old Fashioned,15,2.54,38.1,Latte,31,3.5,108.5,146.6,No,3.2,Credit Card,Afternoon,18,3
3/12/2024,Miami,Blueberry Cake,14,3.17,44.38,Iced Coffee,37,2.5,92.5,136.88,Yes,3.8,Mobile Payment,Morning,17,3
3/1/2024,New York,Strawberry Frosted,14,2.43,34.02,Iced Tea,7,2,14,48.02,No,3.1,Credit Card,Morning,16,2
1/21/2024,Miami,Glazed,63,1.08,68.04,Iced Coffee,7,2.5,17.5,85.54,Yes,4.5,Cash,Afternoon,71,8
3/23/2024,Los Angeles,Jelly,56,3.33,186.48,Hot Chocolate,5,2.25,11.25,197.73,Yes,4.8,Credit Card,Afternoon,62,6
3/27/2024,Miami,Chocolate Frosted,96,2.72,261.12,Smoothie,13,3.75,48.75,309.87,No,3.6,Mobile Payment,Morning,127,31
3/15/2024,New York,Jelly,58,2.69,156.02,Hot Coffee,31,2,62,218.02,Yes,4.7,Mobile Payment,Afternoon,70,12
3/15/2024,Los Angeles,Vanilla Frosted,18,1.54,27.72,Smoothie,34,3.75,127.5,155.22,Yes,3.6,Credit Card,Morning,23,5
3/28/2024,Miami,Powdered Sugar,29,2.65,76.85,Hot Chocolate,9,2.25,20.25,97.1,Yes,4.8,Cash,Afternoon,32,3
4/9/2024,Los Angeles,Chocolate Frosted,70,1.98,138.6,Hot Chocolate,2,2.25,4.5,143.1,Yes,4.5,Credit Card,Afternoon,90,20
1/24/2024,Boston,Strawberry Frosted,44,2.63,115.72,Hot Coffee,11,2,22,137.72,No,4.6,Cash,Afternoon,55,11
1/3/2024,Boston,Strawberry Frosted,59,1.27,74.93,Iced Tea,48,2,96,170.93,No,3,Credit Card,Morning,70,11
1/22/2024,Miami,Glazed,91,2.64,240.24,Latte,30,3.5,105,345.24,Yes,4.9,Mobile Payment,Afternoon,103,12
2/22/2024,Los Angeles,Vanilla Frosted,71,3.5,248.5,Hot Chocolate,28,2.25,63,311.5,Yes,4.5,Cash,Morning,84,13
1/2/2024,New York,Old Fashioned,26,1.12,29.12,Latte,4,3.5,14,43.12,Yes,3.6,Cash,Morning,31,5
